iter	MAE
0	15.73172253
1	14.40010248
2	13.21772102
3	12.17976653
4	11.2393933
5	10.44036204
6	9.702966522
7	9.083360972
8	8.516446863
9	8.02289672
10	7.551884267
11	7.149014688
12	6.8281046
13	6.537983188
14	6.284535565
15	6.041810402
16	5.821758481
17	5.634420233
18	5.477148945
19	5.333654084
20	5.194770056
21	5.073892737
22	4.968615721
23	4.877738999
24	4.796636585
25	4.713661745
26	4.645363754
27	4.58522978
28	4.534833693
29	4.481127928
30	4.434866564
31	4.392279333
32	4.355867629
33	4.31946758
34	4.28074505
35	4.251685459
36	4.221938031
37	4.193354752
38	4.168829019
39	4.147170279
40	4.123401494
41	4.104705395
42	4.077384519
43	4.057223329
44	4.044687215
45	4.026746747
46	4.010092953
47	3.994584871
48	3.983473754
49	3.969246161
50	3.956275697
51	3.942937701
52	3.932011872
53	3.924776086
54	3.910147375
55	3.899876062
56	3.887837694
57	3.87931821
58	3.873979758
59	3.863868716
60	3.858686871
61	3.847544524
62	3.838638901
63	3.83075854
64	3.821197581
65	3.812878507
66	3.807800465
67	3.800093174
68	3.796666708
69	3.782360685
70	3.777972899
71	3.774378769
72	3.76689982
73	3.759461651
74	3.752679521
75	3.748511013
76	3.738914742
77	3.734199157
78	3.729127383
79	3.726643399
80	3.722192652
81	3.720176097
82	3.712353493
83	3.703928321
84	3.697194849
85	3.693847215
86	3.68737134
87	3.682582222
88	3.678132424
89	3.674590642
90	3.667747013
91	3.664231615
92	3.660121017
93	3.657435504
94	3.654096195
95	3.649471939
96	3.645221942
97	3.644129392
98	3.638086635
99	3.634856456
100	3.629154542
101	3.625445004
102	3.622907144
103	3.620888214
104	3.615453128
105	3.612494955
106	3.610535131
107	3.608295916
108	3.604091556
109	3.602161435
110	3.599719084
111	3.595493605
112	3.593438003
113	3.589707414
114	3.588428113
115	3.587319791
116	3.585727856
117	3.582410778
118	3.579391753
119	3.576328039
120	3.572698106
121	3.570533173
122	3.566532615
123	3.563725072
124	3.561759032
125	3.559981976
126	3.558276294
127	3.557023367
128	3.555541577
129	3.550836429
130	3.54947941
131	3.547169974
132	3.545752695
133	3.542286484
134	3.53862492
135	3.537007606
136	3.534292681
137	3.532639144
138	3.531174136
139	3.529258373
140	3.528229495
141	3.526391617
142	3.52390916
143	3.522631502
144	3.520918971
145	3.519204895
146	3.516977375
147	3.51489407
148	3.513567945
149	3.511757626
150	3.51020314
151	3.509239548
152	3.508023427
153	3.505699652
154	3.504570384
155	3.503894194
156	3.502206443
157	3.501028558
158	3.500106843
159	3.498994923
160	3.498449758
161	3.4975123
162	3.495024328
163	3.494081933
164	3.49200858
165	3.490987777
166	3.489763776
167	3.489287792
168	3.486951978
169	3.485299465
170	3.483964493
171	3.482724439
172	3.481331908
173	3.480200832
174	3.478600572
175	3.477210883
176	3.476206955
177	3.47503003
178	3.474189519
179	3.471967962
180	3.470613966
181	3.469306178
182	3.468609157
183	3.467997119
184	3.466381727
185	3.46499961
186	3.464214148
187	3.463562736
188	3.462007536
189	3.46118927
190	3.459868624
191	3.458999932
192	3.458502646
193	3.457713559
194	3.457053782
195	3.456154751
196	3.455791283
197	3.454699293
198	3.453797599
199	3.45315496
200	3.452060997
201	3.450527788
202	3.449229524
203	3.448272025
204	3.445980092
205	3.445366217
206	3.44448923
207	3.443766324
208	3.442187755
209	3.441010333
210	3.440379641
211	3.439949788
212	3.439062705
213	3.43825607
214	3.437071562
215	3.436485266
216	3.435983587
217	3.435225274
218	3.434831203
219	3.432722765
220	3.432244384
221	3.431060575
222	3.430591153
223	3.429972391
224	3.429338414
225	3.428332531
226	3.4278433
227	3.427476401
228	3.425994554
229	3.425689203
230	3.424967203
231	3.423480208
232	3.422813003
233	3.420074006
234	3.419598113
235	3.418692017
236	3.418010428
237	3.417537614
238	3.417081217
239	3.416585029
240	3.416106729
241	3.415342143
242	3.413904494
243	3.412819127
244	3.412009275
245	3.410843171
246	3.410133656
247	3.409701762
248	3.407636247
249	3.406975155
250	3.406525831
251	3.405789992
252	3.405046839
253	3.403725333
254	3.402711004
255	3.402491441
256	3.401512296
257	3.400905552
258	3.40065612
259	3.400221183
260	3.399318358
261	3.398973207
262	3.398372167
263	3.397934449
264	3.397283367
265	3.396759936
266	3.395930197
267	3.394940792
268	3.394243498
269	3.393791382
270	3.3934367
271	3.392964835
272	3.391392756
273	3.390413907
274	3.389742615
275	3.389133374
276	3.388571634
277	3.388050426
278	3.386952091
279	3.385999957
280	3.385712443
281	3.385499385
282	3.38465883
283	3.383570636
284	3.383140823
285	3.382468499
286	3.382073103
287	3.381491048
288	3.379903535
289	3.379566749
290	3.377737602
291	3.377008857
292	3.376795776
293	3.376173058
294	3.375811119
295	3.374854653
296	3.373890415
297	3.373378919
298	3.372627039
299	3.372180378
300	3.371893342
301	3.371523194
302	3.371120599
303	3.370926069
304	3.370038322
305	3.368896375
306	3.368706885
307	3.368516637
308	3.368085993
309	3.367831169
310	3.367431269
311	3.366816526
312	3.366508429
313	3.366322568
314	3.366057475
315	3.36536606
316	3.364286454
317	3.363505792
318	3.363151046
319	3.362293567
320	3.361530846
321	3.360395738
322	3.359852608
323	3.359463791
324	3.358772752
325	3.358464415
326	3.358047324
327	3.357653197
328	3.356711987
329	3.356410733
330	3.356081078
331	3.355894247
332	3.355446394
333	3.35513259
334	3.354367168
335	3.35401353
336	3.353615744
337	3.35325441
338	3.352982286
339	3.35180382
340	3.350659581
341	3.350196996
342	3.349802605
343	3.349580178
344	3.349349494
345	3.349124418
346	3.34847788
347	3.348142458
348	3.347705496
349	3.347557002
350	3.346941367
351	3.3464542
352	3.34615625
353	3.34593847
354	3.345415896
355	3.345116353
356	3.344318379
357	3.342963723
358	3.342298585
359	3.342123559
360	3.341906969
361	3.341691969
362	3.341132449
363	3.340554219
364	3.340373792
365	3.339720201
366	3.339250303
367	3.338756586
368	3.338447527
369	3.338043873
370	3.337317377
371	3.336678607
372	3.335728394
373	3.334140738
374	3.333631239
375	3.333310563
376	3.332961645
377	3.332364614
378	3.331514733
379	3.330984661
380	3.330332748
381	3.330037275
382	3.329911611
383	3.32976647
384	3.329559107
385	3.328955223
386	3.328500593
387	3.328463278
388	3.328029063
389	3.327880255
390	3.327770203
391	3.327414609
392	3.327099354
393	3.326989103
394	3.326766169
395	3.326620074
396	3.326216332
397	3.32576213
398	3.325620461
399	3.325043055
400	3.324698686
401	3.324578048
402	3.324002485
403	3.323697824
404	3.32342888
405	3.322955272
406	3.322586961
407	3.322424362
408	3.322173587
409	3.321834467
410	3.321423348
411	3.320841734
412	3.320557159
413	3.319928437
414	3.319177883
415	3.31893571
416	3.318528871
417	3.318102854
418	3.317910324
419	3.31749406
420	3.3169098
421	3.316233814
422	3.315803309
423	3.315284513
424	3.314840729
425	3.314613032
426	3.314048542
427	3.313654773
428	3.313204385
429	3.312682299
430	3.312302538
431	3.311509244
432	3.311263874
433	3.311093738
434	3.310849346
435	3.310365883
436	3.309972346
437	3.309463233
438	3.309125075
439	3.308801531
440	3.308247974
441	3.307623769
442	3.307473722
443	3.307292054
444	3.306971788
445	3.306532067
446	3.30640884
447	3.306127095
448	3.305517851
449	3.304856762
450	3.304724626
451	3.304572558
452	3.303846149
453	3.303567008
454	3.303373875
455	3.302653153
456	3.302292002
457	3.301563997
458	3.301280105
459	3.301083588
460	3.300802377
461	3.300705934
462	3.300584334
463	3.300258516
464	3.29997176
465	3.299695867
466	3.299492264
467	3.299201292
468	3.299026391
469	3.298381774
470	3.297996761
471	3.297072015
472	3.296965621
473	3.296590933
474	3.296317889
475	3.296252343
476	3.295950025
477	3.295560739
478	3.295279801
479	3.295015007
480	3.294744154
481	3.294359784
482	3.294125155
483	3.293418034
484	3.293132304
485	3.292781046
486	3.292644361
487	3.292469117
488	3.292186631
489	3.291929272
490	3.291702767
491	3.291373514
492	3.291036726
493	3.290927451
494	3.290761168
495	3.290138233
496	3.289708707
497	3.289240007
498	3.289109828
499	3.288994369
