iter	Passed	Remaining
0	7	3922
1	15	3820
2	22	3785
3	29	3644
4	35	3562
5	42	3523
6	49	3495
7	59	3649
8	66	3630
9	75	3696
10	83	3709
11	91	3737
12	98	3707
13	105	3675
14	111	3601
15	117	3561
16	124	3533
17	132	3559
18	143	3626
19	150	3622
20	159	3639
21	166	3626
22	175	3633
23	182	3615
24	189	3596
25	199	3634
26	206	3625
27	213	3601
28	220	3587
29	227	3568
30	235	3559
31	247	3620
32	255	3615
33	263	3608
34	271	3601
35	277	3581
36	287	3594
37	294	3579
38	302	3571
39	310	3566
40	318	3565
41	325	3548
42	332	3529
43	342	3549
44	351	3551
45	359	3548
46	365	3521
47	374	3525
48	383	3526
49	390	3515
50	400	3525
51	407	3512
52	414	3499
53	423	3498
54	430	3481
55	438	3479
56	446	3470
57	456	3480
58	464	3469
59	471	3460
60	478	3444
61	487	3441
62	492	3419
63	501	3413
64	508	3403
65	515	3386
66	522	3377
67	529	3365
68	537	3356
69	543	3338
70	552	3340
71	561	3335
72	568	3324
73	574	3308
74	582	3298
75	589	3286
76	595	3271
77	604	3270
78	612	3266
79	620	3258
80	628	3249
81	637	3247
82	644	3237
83	651	3228
84	659	3218
85	668	3217
86	675	3204
87	681	3188
88	687	3175
89	693	3160
90	700	3148
91	709	3145
92	716	3135
93	725	3132
94	731	3119
95	739	3111
96	750	3116
97	758	3112
98	765	3102
99	772	3089
100	780	3081
101	787	3070
102	795	3064
103	803	3060
104	810	3049
105	817	3039
106	826	3034
107	833	3027
108	843	3024
109	850	3017
110	858	3009
111	865	2998
112	872	2987
113	880	2982
114	888	2974
115	895	2964
116	902	2954
117	910	2947
118	920	2946
119	930	2946
120	938	2938
121	944	2927
122	951	2915
123	961	2914
124	968	2906
125	975	2895
126	982	2886
127	990	2877
128	998	2871
129	1006	2865
130	1014	2856
131	1020	2844
132	1026	2832
133	1036	2832
134	1046	2830
135	1056	2828
136	1064	2820
137	1071	2809
138	1078	2800
139	1085	2791
140	1092	2782
141	1099	2772
142	1106	2762
143	1115	2758
144	1125	2754
145	1132	2746
146	1140	2739
147	1147	2728
148	1155	2721
149	1160	2708
150	1168	2701
151	1175	2691
152	1183	2683
153	1190	2674
154	1197	2665
155	1205	2659
156	1214	2652
157	1221	2644
158	1232	2643
159	1241	2638
160	1249	2631
161	1257	2624
162	1265	2616
163	1273	2608
164	1279	2597
165	1285	2585
166	1292	2577
167	1299	2567
168	1306	2559
169	1315	2552
170	1323	2546
171	1333	2543
172	1341	2535
173	1348	2525
174	1354	2515
175	1360	2504
176	1366	2493
177	1373	2484
178	1380	2475
179	1386	2465
180	1393	2456
181	1401	2448
182	1409	2441
183	1416	2431
184	1422	2422
185	1432	2418
186	1439	2410
187	1446	2400
188	1451	2389
189	1458	2379
190	1467	2374
191	1476	2368
192	1483	2360
193	1491	2351
194	1497	2341
195	1506	2336
